gene,regulated,GO_IDS
RRM1,up,GO:0004748 GO:0005515 GO:0005524 GO:0042802 GO:0061731 GO:0097718 GO:0000731 GO:0006264 GO:0006281 GO:0009185 GO:0009263 GO:0009265 GO:0010971 GO:0051290 GO:0070318 GO:1900087
KIAA1522,down,
HDGF,up,GO:0000166 GO:0000978 GO:0001222 GO:0001227 GO:0003690 GO:0003712 GO:0003714 GO:0003723 GO:0008083 GO:0008201 GO:0000122 GO:0006351 GO:0006357 GO:0007165 GO:0034504 GO:0043524 GO:0045944 GO:0098761
CGN,down,GO:0003779 GO:0005515 GO:0008017 GO:0045296 GO:0000226 GO:0008150
KRTAP2-1,down,
NEBL,down,GO:0005515 GO:0005523 GO:0008092 GO:0008307 GO:0031005 GO:0051015 GO:0071691
TYMSOS,up,
EPB41L1,down,GO:0003779 GO:0005198 GO:0005515 GO:0030866 GO:0031032
FGFR4,down,GO:0004714 GO:0005007 GO:0005515 GO:0005524 GO:0008201 GO:0017134 GO:0007169 GO:0007275 GO:0008284 GO:0008543 GO:0010628 GO:0010715 GO:0016477 GO:0018108 GO:0019216 GO:0033674 GO:0042593 GO:0042632 GO:0043085 GO:0045862 GO:0046777 GO:0055062 GO:0070374 GO:0070857 GO:1903412 GO:2000573
UBA2,up,GO:0000287 GO:0005515 GO:0005524 GO:0016740 GO:0019948 GO:0032183 GO:0044388 GO:0044390 GO:0046982 GO:0016925 GO:0032446 GO:0033235
MAGEC2,down,GO:0005515 GO:0031625 GO:0000122 GO:0030163 GO:0051443
UNG,up,GO:0003684 GO:0004844 GO:0005515 GO:0043024 GO:0006281 GO:0006284 GO:0016446 GO:0043066 GO:0045008 GO:0045190 GO:0097510
CXCL1,down,GO:0005102 GO:0005515 GO:0008009 GO:0008047 GO:0008083 GO:0045236 GO:0006935 GO:0006954 GO:0007165 GO:0007186 GO:0007399 GO:0008285 GO:0030036 GO:0030593 GO:0035556 GO:0050790 GO:0061844 GO:0070098 GO:0071222
ADI1,up,GO:0005506 GO:0005515 GO:0010308 GO:0010309 GO:0016151 GO:0016491 GO:0006555 GO:0019509
CCDC85A,down,GO:0005515 GO:0008150
DNAAF3,down,
SH2D3A,down,GO:0001784 GO:0005085 GO:0005515 GO:0007254 GO:0007264 GO:0033138 GO:0050790
JCAD,down,
MAPRE3,down,GO:0005515 GO:0008017 GO:0008022 GO:0019901 GO:0042802 GO:0051010 GO:0008104 GO:0031110 GO:0031113 GO:0035372 GO:0045737 GO:0045860 GO:0045893 GO:0051225 GO:0051301 GO:1903033
KCNC3,down,GO:0005249 GO:0005251 GO:0034765 GO:0051260 GO:0051262 GO:0071805
TP53I11,down,
ARHGAP30,down,GO:0005096 GO:0005515 GO:0007264 GO:0050790 GO:0051056
CCNF,up,GO:0005515 GO:0010997 GO:0016538 GO:0000079 GO:0000320 GO:0001890 GO:0010826 GO:0016567 GO:0031146 GO:0044772 GO:0051301 GO:0051726
