gene,regulated,GO_IDS
GBA2,up,GO:0004336 GO:0004348 GO:0008422 GO:0046527 GO:0050295 GO:0005975 GO:0006680 GO:0006687 GO:0007417 GO:0008203 GO:0008206 GO:0016139 GO:0021954 GO:0030259 GO:0030833 GO:0031113 GO:0097035
SPPL2B,up,GO:0005515 GO:0042500 GO:0042803 GO:0006509 GO:0010803 GO:0031293 GO:0033619 GO:0050776
BCAT1,down,GO:0004084 GO:0050048 GO:0052654 GO:0052655 GO:0052656 GO:0000082 GO:0006629 GO:0009082 GO:0009098 GO:0009099
ZDHHC8,up,GO:0016409 GO:0019706 GO:0007626 GO:0010875 GO:0018230 GO:0018345 GO:0034380 GO:0044794 GO:1903078
TRAPPC14,up,GO:0005515 GO:0043014 GO:0042127 GO:0060271
MYO19,up,GO:0000146 GO:0003779 GO:0005524 GO:0016887 GO:0032027 GO:0051015 GO:0060002 GO:0007015 GO:0030050 GO:0032465 GO:0034642 GO:0090140
S100A6,down,GO:0005509 GO:0005515 GO:0005523 GO:0008270 GO:0015075 GO:0042803 GO:0044548 GO:0048306 GO:0007165 GO:0007409 GO:0034220 GO:0048146
LTB4R2,up,GO:0001632 GO:0004974 GO:0008528 GO:0006935 GO:0006954 GO:0007194 GO:0007218 GO:0051546 GO:0061737
FAM156A,up,
RPL36A,down,GO:0003723 GO:0003735 GO:0005515 GO:0002181 GO:0006412
RPS18,down,GO:0003723 GO:0003735 GO:0005515 GO:0019843 GO:0002181 GO:0006412
CPSF1,up,GO:0005515 GO:0019899 GO:0035925 GO:0006378 GO:0098789
RIN1,up,GO:0005085 GO:0005096 GO:0005515 GO:0031267 GO:0006897 GO:0007165 GO:0050790
LOC105378751,up,
LMF2,up,GO:0005515 GO:0051604
PCED1A,up,
AMT,up,GO:0004047 GO:0008483 GO:0006546 GO:0019464
NDUFS5,down,GO:0005515 GO:0008137 GO:0006120 GO:0009060 GO:0032981 GO:0042776
TRIM47,up,GO:0004842 GO:0008270 GO:0016567
IQSEC2,up,GO:0005085 GO:0030036 GO:0032012 GO:0050790 GO:0050804 GO:0098696
EHD2,up,GO:0003676 GO:0005509 GO:0005515 GO:0005524 GO:0005525 GO:0016787 GO:0019904 GO:0042802 GO:0006897 GO:0016197 GO:0030866 GO:0032456 GO:0060271 GO:0072659 GO:0097320 GO:1901741 GO:2001137
TRNN,up,
LOC105376794,up,
TMEM94,up,
TIA1,up,GO:0003723 GO:0003730 GO:0005515 GO:0008143 GO:0035925 GO:0000381 GO:0001818 GO:0006397 GO:0006915 GO:0008380 GO:0017148 GO:0034063 GO:0048024 GO:1903608
PLEKHH3,up,
TRPV1,up,GO:0004888 GO:0005216 GO:0005230 GO:0005231 GO:0005245 GO:0005262 GO:0005515 GO:0005516 GO:0005524 GO:0015278 GO:0017081 GO:0035091 GO:0042802 GO:0046872 GO:0051219 GO:0097603 GO:0000122 GO:0001660 GO:0001774 GO:0002024 GO:0002790 GO:0003085 GO:0006629 GO:0007166 GO:0007204 GO:0007635 GO:0010459 GO:0010917 GO:0014047 GO:0034605 GO:0043065 GO:0043434 GO:0045429 GO:0048266 GO:0050954 GO:0050955 GO:0050960 GO:0050965 GO:0050968 GO:0051209 GO:0051289 GO:0060079 GO:0060083 GO:0060454 GO:0070588 GO:0071312 GO:0071318 GO:0071356 GO:0071468 GO:0071502 GO:0090212 GO:0098703 GO:1901594 GO:1990090
ZNF276,up,GO:0005515 GO:0008270 GO:0043035 GO:1990837 GO:0006357
SKA2,down,GO:0005515 GO:0008017 GO:0000278 GO:0007059 GO:0031110 GO:0051301
LOC642846,up,
CKS2,down,GO:0003682 GO:0005515 GO:0019901 GO:0042393 GO:0043130 GO:0061575 GO:0006357 GO:0007127 GO:0007346 GO:0044772 GO:0045737 GO:0048144 GO:0051301
CBX5,down,GO:0003682 GO:0005515 GO:0030674 GO:0035064 GO:0042802 GO:0042826 GO:0043021 GO:0044877 GO:0140297 GO:0000122 GO:0006325 GO:0006974 GO:0045892
RPL35A,down,GO:0000049 GO:0003723 GO:0003735 GO:0005515 GO:0002181 GO:0006364 GO:0006412 GO:0042273
NDUFA1,down,GO:0008137 GO:0006120 GO:0009060 GO:0032981 GO:0042776
STAG3L5P-PVRIG2P-PILRB,up,
ENTPD4,up,GO:0003924 GO:0004382 GO:0017110 GO:0017111 GO:0036384 GO:0043273 GO:0045134 GO:0006256 GO:0009134 GO:0034656 GO:0046036 GO:0046712
ANKRD13B,up,GO:0140036 GO:0002091
AMH,up,GO:0005102 GO:0005114 GO:0005179 GO:0005515 GO:0008083 GO:0001541 GO:0001546 GO:0001655 GO:0001880 GO:0007267 GO:0007506 GO:0007530 GO:0007548 GO:0007568 GO:0009410 GO:0010628 GO:0014070 GO:0033327 GO:0051092 GO:0060389 GO:2000355
MIB2,up,GO:0003779 GO:0004842 GO:0005515 GO:0008270 GO:0007219 GO:0016567 GO:0043123
TALAM1,up,
C19orf33,down,
LOC107984974,down,
CAMK2G,up,GO:0004683 GO:0004723 GO:0005515 GO:0005516 GO:0005524 GO:0042802 GO:0042803 GO:0106310 GO:0006468 GO:0007399 GO:0010975 GO:0014733 GO:0030073 GO:0030154 GO:0051924
SSR3,down,GO:0005515 GO:0006614
TMEM63A,up,GO:0003676 GO:0005227 GO:0005515 GO:0008381 GO:1990760 GO:0098655
PRELID3B,down,GO:1990050 GO:0015914 GO:0120009
RASD1,up,GO:0003924 GO:0005515 GO:0005525 GO:0031681 GO:0007165 GO:0007186 GO:0007263 GO:0045892
COL7A1,up,GO:0004867 GO:0005515 GO:0030020 GO:0007155 GO:0008544 GO:0010951 GO:0035987
COX6B1,down,GO:0004129 GO:0006123 GO:0021762 GO:0045333 GO:1902600
GGT5,up,GO:0000048 GO:0002951 GO:0036374 GO:0102953 GO:0103068 GO:0006508 GO:0006520 GO:0006631 GO:0006750 GO:0006751 GO:0006954 GO:1901750
IER5L,up,
POMP,down,GO:0005515 GO:0043248
RPS23,down,GO:0003723 GO:0003735 GO:0005515 GO:0002181 GO:0006412 GO:0034063 GO:1990145
SLC25A22,up,GO:0005280 GO:0005313 GO:0015183 GO:0022857 GO:0006810 GO:0006811 GO:0015810 GO:0015813 GO:0043490 GO:0050796 GO:0070778 GO:1902600
